timestamp_s,latitude,longitude,altitude_m,battery_soc,battery_temp_c,battery_drop_rate_pct_min,motor_health,airspeed_mps,payload_kg,wind_speed_mps,wind_direction_deg,link_quality,power_draw_w,vibration_g,esc_temp_c,gps_satellites,gps_hdop,heading_disagreement_deg,wind_gust_mps
0,30.416504,-97.632637,91.6,20.36,45.4,2.20,0.920,13.1,2.2,6.3,45,0.93,,0.177,52.6,14,0.75,1.5,7.3
1,30.416583,-97.632537,92.1,20.33,45.4,2.20,0.920,13.2,2.2,6.0,45,0.93,,0.195,51.7,14,0.76,1.4,7.7
2,30.416669,-97.632446,91.7,20.29,45.4,2.20,0.919,13.0,2.2,6.2,45,0.93,,0.171,51.3,14,0.84,2.1,7.7
3,30.416753,-97.632346,91.7,20.25,45.5,2.20,0.919,12.8,2.2,6.2,45,0.93,,0.165,51.4,14,0.77,2.0,7.3
4,30.416838,-97.632250,91.6,20.22,45.5,2.20,0.919,12.9,2.2,6.2,45,0.93,,0.200,51.6,14,0.78,0.8,7.3
5,30.416912,-97.632149,92.0,20.18,45.5,2.20,0.919,13.0,2.2,5.9,45,0.93,,0.166,52.1,14,0.78,1.3,7.9
6,30.416989,-97.632067,92.6,20.14,45.5,2.20,0.919,12.9,2.2,6.3,45,0.93,,0.164,52.7,14,0.77,2.1,7.6
7,30.417084,-97.631963,91.8,20.11,45.5,2.20,0.919,13.1,2.2,6.3,45,0.93,,0.165,51.5,14,0.81,0.9,7.1
8,30.417170,-97.631867,92.0,20.07,45.5,2.20,0.918,13.1,2.2,5.7,45,0.93,,0.164,52.1,14,0.77,0.7,7.1
9,30.417245,-97.631777,92.6,20.03,45.5,2.20,0.918,13.0,2.2,5.7,45,0.93,,0.168,52.3,14,0.83,1.0,7.5
10,30.417340,-97.631673,92.0,20.00,45.5,2.20,0.918,13.2,2.2,5.8,45,0.93,,0.187,52.0,14,0.81,0.8,7.5
11,30.417412,-97.631582,91.7,19.96,45.6,2.20,0.918,13.0,2.2,5.7,45,0.93,,0.177,52.7,14,0.81,1.5,7.8
12,30.417495,-97.631490,92.4,19.92,45.6,2.20,0.918,13.0,2.2,6.0,45,0.93,,0.175,51.4,14,0.77,1.7,7.5
