timestamp_s,vehicle_id,latitude,longitude,altitude_m
109,DRONE-300,30.407488,-97.693964,42.0
109,DRONE-301,30.409586,-97.696396,42.0
109,DRONE-302,30.405390,-97.691531,42.0
110,DRONE-300,30.407558,-97.694045,42.0
110,DRONE-301,30.409656,-97.696478,42.0
110,DRONE-302,30.405460,-97.691613,42.0
111,DRONE-300,30.407628,-97.694126,42.0
111,DRONE-301,30.409726,-97.696559,42.0
111,DRONE-302,30.405530,-97.691694,42.0
112,DRONE-300,30.407698,-97.694207,42.0
112,DRONE-301,30.409796,-97.696640,42.0
112,DRONE-302,30.405600,-97.691775,42.0
113,DRONE-300,30.407768,-97.694288,42.0
113,DRONE-301,30.409866,-97.696721,42.0
113,DRONE-302,30.405670,-97.691856,42.0
114,DRONE-300,30.407838,-97.694369,42.0
114,DRONE-301,30.409936,-97.696802,42.0
114,DRONE-302,30.405740,-97.691937,42.0
115,DRONE-300,30.407908,-97.694450,42.0
115,DRONE-301,30.410006,-97.696883,42.0
115,DRONE-302,30.405810,-97.692018,42.0
116,DRONE-300,30.407978,-97.694532,42.0
116,DRONE-301,30.410076,-97.696964,42.0
116,DRONE-302,30.405880,-97.692099,42.0
117,DRONE-300,30.408048,-97.694613,42.0
117,DRONE-301,30.410145,-97.697045,42.0
117,DRONE-302,30.405950,-97.692180,42.0
118,DRONE-300,30.408117,-97.694694,42.0
118,DRONE-301,30.410215,-97.697126,42.0
118,DRONE-302,30.406019,-97.692261,42.0
119,DRONE-300,30.408187,-97.694775,42.0
119,DRONE-301,30.410285,-97.697207,42.0
119,DRONE-302,30.406089,-97.692342,42.0
120,DRONE-300,30.408257,-97.694856,42.0
120,DRONE-301,30.410355,-97.697288,42.0
120,DRONE-302,30.406159,-97.692423,42.0
121,DRONE-300,30.408327,-97.694937,42.0
121,DRONE-301,30.410425,-97.697369,42.0
121,DRONE-302,30.406229,-97.692504,42.0
122,DRONE-300,30.408397,-97.695018,42.0
122,DRONE-301,30.410495,-97.697451,42.0
122,DRONE-302,30.406299,-97.692586,42.0
123,DRONE-300,30.408467,-97.695099,42.0
123,DRONE-301,30.410565,-97.697532,42.0
123,DRONE-302,30.406369,-97.692667,42.0
124,DRONE-300,30.408537,-97.695180,42.0
124,DRONE-301,30.410635,-97.697613,42.0
124,DRONE-302,30.406439,-97.692748,42.0
125,DRONE-300,30.408607,-97.695261,42.0
125,DRONE-301,30.410705,-97.697694,42.0
125,DRONE-302,30.406509,-97.692829,42.0
126,DRONE-300,30.408677,-97.695342,42.0
126,DRONE-301,30.410775,-97.697775,42.0
126,DRONE-302,30.406579,-97.692910,42.0
127,DRONE-300,30.408747,-97.695423,42.0
127,DRONE-301,30.410845,-97.697856,42.0
127,DRONE-302,30.406649,-97.692991,42.0
128,DRONE-300,30.408817,-97.695505,42.0
128,DRONE-301,30.410915,-97.697937,42.0
128,DRONE-302,30.406719,-97.693072,42.0
129,DRONE-300,30.408887,-97.695586,42.0
129,DRONE-301,30.410985,-97.698018,42.0
129,DRONE-302,30.406789,-97.693153,42.0
130,DRONE-300,30.408957,-97.695667,42.0
130,DRONE-301,30.411055,-97.698099,42.0
130,DRONE-302,30.406859,-97.693234,42.0
131,DRONE-300,30.409027,-97.695748,42.0
131,DRONE-301,30.411125,-97.698180,42.0
131,DRONE-302,30.406929,-97.693315,42.0
132,DRONE-300,30.409096,-97.695829,42.0
132,DRONE-301,30.411194,-97.698261,42.0
132,DRONE-302,30.406999,-97.693396,42.0
133,DRONE-300,30.409166,-97.695910,42.0
133,DRONE-301,30.411264,-97.698342,42.0
133,DRONE-302,30.407068,-97.693477,42.0
134,DRONE-300,30.409236,-97.695991,42.0
134,DRONE-301,30.411334,-97.698424,42.0
134,DRONE-302,30.407138,-97.693558,42.0
135,DRONE-300,30.409306,-97.696072,42.0
135,DRONE-301,30.411404,-97.698505,42.0
135,DRONE-302,30.407208,-97.693640,42.0
136,DRONE-300,30.409376,-97.696153,42.0
136,DRONE-301,30.411474,-97.698586,42.0
136,DRONE-302,30.407278,-97.693721,42.0
137,DRONE-300,30.409446,-97.696234,42.0
137,DRONE-301,30.411544,-97.698667,42.0
137,DRONE-302,30.407348,-97.693802,42.0
138,DRONE-300,30.409516,-97.696315,42.0
138,DRONE-301,30.411614,-97.698748,42.0
138,DRONE-302,30.407418,-97.693883,42.0
139,DRONE-300,30.409586,-97.696396,42.0
139,DRONE-301,30.411684,-97.698829,42.0
139,DRONE-302,30.407488,-97.693964,42.0
140,DRONE-300,30.409656,-97.696478,42.0
140,DRONE-301,30.411754,-97.698910,42.0
140,DRONE-302,30.407558,-97.694045,42.0
141,DRONE-300,30.409726,-97.696559,42.0
141,DRONE-301,30.411824,-97.698991,42.0
141,DRONE-302,30.407628,-97.694126,42.0
142,DRONE-300,30.409796,-97.696640,42.0
142,DRONE-301,30.411894,-97.699072,42.0
142,DRONE-302,30.407698,-97.694207,42.0
143,DRONE-300,30.409866,-97.696721,42.0
143,DRONE-301,30.411964,-97.699153,42.0
143,DRONE-302,30.407768,-97.694288,42.0
144,DRONE-300,30.409936,-97.696802,42.0
144,DRONE-301,30.412034,-97.699234,42.0
144,DRONE-302,30.407838,-97.694369,42.0
145,DRONE-300,30.410006,-97.696883,42.0
145,DRONE-301,30.412104,-97.699315,42.0
145,DRONE-302,30.407908,-97.694450,42.0
146,DRONE-300,30.410076,-97.696964,42.0
146,DRONE-301,30.412174,-97.699397,42.0
146,DRONE-302,30.407978,-97.694531,42.0
147,DRONE-300,30.410145,-97.697045,42.0
147,DRONE-301,30.412243,-97.699478,42.0
147,DRONE-302,30.408048,-97.694613,42.0
148,DRONE-300,30.410215,-97.697126,42.0
148,DRONE-301,30.412313,-97.699559,42.0
148,DRONE-302,30.408117,-97.694694,42.0
149,DRONE-300,30.410285,-97.697207,42.0
149,DRONE-301,30.412383,-97.699640,42.0
149,DRONE-302,30.408187,-97.694775,42.0
150,DRONE-300,30.410355,-97.697288,42.0
150,DRONE-301,30.412453,-97.699721,42.0
150,DRONE-302,30.408257,-97.694856,42.0
151,DRONE-300,30.410425,-97.697369,42.0
151,DRONE-301,30.412523,-97.699802,42.0
151,DRONE-302,30.408327,-97.694937,42.0
152,DRONE-300,30.410495,-97.697451,42.0
152,DRONE-301,30.412593,-97.699883,42.0
152,DRONE-302,30.408397,-97.695018,42.0
153,DRONE-300,30.410565,-97.697532,42.0
153,DRONE-301,30.412663,-97.699964,42.0
153,DRONE-302,30.408467,-97.695099,42.0
154,DRONE-300,30.410635,-97.697613,42.0
154,DRONE-301,30.412733,-97.700045,42.0
154,DRONE-302,30.408537,-97.695180,42.0
155,DRONE-300,30.410705,-97.697694,42.0
155,DRONE-301,30.412803,-97.700126,42.0
155,DRONE-302,30.408607,-97.695261,42.0
156,DRONE-300,30.410775,-97.697775,42.0
156,DRONE-301,30.412873,-97.700207,42.0
156,DRONE-302,30.408677,-97.695342,42.0
157,DRONE-300,30.410845,-97.697856,42.0
157,DRONE-301,30.412943,-97.700289,42.0
157,DRONE-302,30.408747,-97.695423,42.0
158,DRONE-300,30.410915,-97.697937,42.0
158,DRONE-301,30.413013,-97.700370,42.0
158,DRONE-302,30.408817,-97.695504,42.0
159,DRONE-300,30.410985,-97.698018,42.0
159,DRONE-301,30.413083,-97.700451,42.0
159,DRONE-302,30.408887,-97.695586,42.0
160,DRONE-300,30.411055,-97.698099,42.0
160,DRONE-301,30.413153,-97.700532,42.0
160,DRONE-302,30.408957,-97.695667,42.0
161,DRONE-300,30.411125,-97.698180,42.0
161,DRONE-301,30.413223,-97.700613,42.0
161,DRONE-302,30.409027,-97.695748,42.0
162,DRONE-300,30.411194,-97.698261,42.0
162,DRONE-301,30.413292,-97.700694,42.0
162,DRONE-302,30.409096,-97.695829,42.0
163,DRONE-300,30.411264,-97.698342,42.0
163,DRONE-301,30.413362,-97.700775,42.0
163,DRONE-302,30.409166,-97.695910,42.0
164,DRONE-300,30.411334,-97.698424,42.0
164,DRONE-301,30.413432,-97.700856,42.0
164,DRONE-302,30.409236,-97.695991,42.0
165,DRONE-300,30.411404,-97.698505,42.0
165,DRONE-301,30.413502,-97.700937,42.0
165,DRONE-302,30.409306,-97.696072,42.0
166,DRONE-300,30.411474,-97.698586,42.0
166,DRONE-301,30.413572,-97.701018,42.0
166,DRONE-302,30.409376,-97.696153,42.0
167,DRONE-300,30.411544,-97.698667,42.0
167,DRONE-301,30.413642,-97.701099,42.0
167,DRONE-302,30.409446,-97.696234,42.0
168,DRONE-300,30.411614,-97.698748,42.0
168,DRONE-301,30.413712,-97.701180,42.0
168,DRONE-302,30.409516,-97.696315,42.0
169,DRONE-300,30.411684,-97.698829,42.0
169,DRONE-301,30.413782,-97.701262,42.0
169,DRONE-302,30.409586,-97.696396,42.0
170,DRONE-300,30.411754,-97.698910,42.0
170,DRONE-301,30.413852,-97.701343,42.0
170,DRONE-302,30.409656,-97.696477,42.0
171,DRONE-300,30.411824,-97.698991,42.0
171,DRONE-301,30.413922,-97.701424,42.0
171,DRONE-302,30.409726,-97.696558,42.0
172,DRONE-300,30.411894,-97.699072,42.0
172,DRONE-301,30.413992,-97.701505,42.0
172,DRONE-302,30.409796,-97.696640,42.0
173,DRONE-300,30.411964,-97.699153,42.0
173,DRONE-301,30.414062,-97.701586,42.0
173,DRONE-302,30.409866,-97.696721,42.0
174,DRONE-300,30.412034,-97.699234,42.0
174,DRONE-301,30.414132,-97.701667,42.0
174,DRONE-302,30.409936,-97.696802,42.0
175,DRONE-300,30.412104,-97.699315,42.0
175,DRONE-301,30.414202,-97.701748,42.0
175,DRONE-302,30.410006,-97.696883,42.0
176,DRONE-300,30.412174,-97.699397,42.0
176,DRONE-301,30.414272,-97.701829,42.0
176,DRONE-302,30.410076,-97.696964,42.0
177,DRONE-300,30.412243,-97.699478,42.0
177,DRONE-301,30.414341,-97.701910,42.0
177,DRONE-302,30.410145,-97.697045,42.0
178,DRONE-300,30.412313,-97.699559,42.0
178,DRONE-301,30.414411,-97.701991,42.0
178,DRONE-302,30.410215,-97.697126,42.0
179,DRONE-300,30.412383,-97.699640,42.0
179,DRONE-301,30.414481,-97.702072,42.0
179,DRONE-302,30.410285,-97.697207,42.0
180,DRONE-300,30.412453,-97.699721,42.0
180,DRONE-301,30.414551,-97.702153,42.0
180,DRONE-302,30.410355,-97.697288,42.0
181,DRONE-300,30.412523,-97.699802,42.0
181,DRONE-301,30.414621,-97.702235,42.0
181,DRONE-302,30.410425,-97.697369,42.0
